sens,spec,model
0.5111111111111111,0.6923076923076923,L2_Logistic_Regression
0.4888888888888889,0.7115384615384616,L2_Logistic_Regression
0.5333333333333333,0.7884615384615384,L2_Logistic_Regression
0.6222222222222222,0.6923076923076923,L2_Logistic_Regression
0.4888888888888889,0.7884615384615384,L2_Logistic_Regression
0.5333333333333333,0.6346153846153846,L2_Logistic_Regression
0.5111111111111111,0.8461538461538461,L2_Logistic_Regression
0.5777777777777777,0.6923076923076923,L2_Logistic_Regression
0.4888888888888889,0.6923076923076923,L2_Logistic_Regression
0.4666666666666667,0.8269230769230769,L2_Logistic_Regression
0.6222222222222222,0.6730769230769231,L2_Logistic_Regression
0.4666666666666667,0.7884615384615384,L2_Logistic_Regression
0.4222222222222222,0.7307692307692307,L2_Logistic_Regression
0.4666666666666667,0.6923076923076923,L2_Logistic_Regression
0.4888888888888889,0.7692307692307693,L2_Logistic_Regression
0.6,0.7692307692307693,L2_Logistic_Regression
0.5333333333333333,0.7884615384615384,L2_Logistic_Regression
0.6222222222222222,0.7115384615384616,L2_Logistic_Regression
0.4888888888888889,0.6923076923076923,L2_Logistic_Regression
0.5555555555555556,0.6346153846153846,L2_Logistic_Regression
0.5555555555555556,0.6923076923076923,L2_Logistic_Regression
0.4444444444444444,0.8461538461538461,L2_Logistic_Regression
0.5555555555555556,0.75,L2_Logistic_Regression
0.4666666666666667,0.7884615384615384,L2_Logistic_Regression
0.4666666666666667,0.7884615384615384,L2_Logistic_Regression
0.5333333333333333,0.7307692307692307,L2_Logistic_Regression
0.5777777777777777,0.75,L2_Logistic_Regression
0.5333333333333333,0.7307692307692307,L2_Logistic_Regression
0.6444444444444445,0.7115384615384616,L2_Logistic_Regression
0.5777777777777777,0.7884615384615384,L2_Logistic_Regression
0.5333333333333333,0.7884615384615384,L2_Logistic_Regression
0.5777777777777777,0.75,L2_Logistic_Regression
0.5111111111111111,0.7884615384615384,L2_Logistic_Regression
0.5555555555555556,0.6538461538461539,L2_Logistic_Regression
0.35555555555555557,0.6153846153846154,L2_Logistic_Regression
0.5777777777777777,0.7692307692307693,L2_Logistic_Regression
0.5555555555555556,0.5961538461538461,L2_Logistic_Regression
0.6222222222222222,0.6346153846153846,L2_Logistic_Regression
0.37777777777777777,0.9038461538461539,L2_Logistic_Regression
0.5333333333333333,0.7115384615384616,L2_Logistic_Regression
0.4,0.8076923076923077,L2_Logistic_Regression
0.5777777777777777,0.7884615384615384,L2_Logistic_Regression
0.5777777777777777,0.75,L2_Logistic_Regression
0.5555555555555556,0.7692307692307693,L2_Logistic_Regression
0.4444444444444444,0.8269230769230769,L2_Logistic_Regression
0.5333333333333333,0.7692307692307693,L2_Logistic_Regression
0.4,0.75,L2_Logistic_Regression
0.6222222222222222,0.7884615384615384,L2_Logistic_Regression
0.5777777777777777,0.75,L2_Logistic_Regression
0.5111111111111111,0.6923076923076923,L2_Logistic_Regression
0.6,0.6730769230769231,L2_Logistic_Regression
0.5777777777777777,0.7884615384615384,L2_Logistic_Regression
0.6222222222222222,0.75,L2_Logistic_Regression
0.5111111111111111,0.7307692307692307,L2_Logistic_Regression
0.6666666666666666,0.75,L2_Logistic_Regression
0.4666666666666667,0.8076923076923077,L2_Logistic_Regression
0.4888888888888889,0.8653846153846154,L2_Logistic_Regression
0.6444444444444445,0.7307692307692307,L2_Logistic_Regression
0.5555555555555556,0.6923076923076923,L2_Logistic_Regression
0.3333333333333333,0.75,L2_Logistic_Regression
0.4888888888888889,0.8653846153846154,L2_Logistic_Regression
0.6,0.6153846153846154,L2_Logistic_Regression
0.4888888888888889,0.7884615384615384,L2_Logistic_Regression
0.35555555555555557,0.8461538461538461,L2_Logistic_Regression
0.4,0.7884615384615384,L2_Logistic_Regression
0.5333333333333333,0.7115384615384616,L2_Logistic_Regression
0.5111111111111111,0.8269230769230769,L2_Logistic_Regression
0.5111111111111111,0.7115384615384616,L2_Logistic_Regression
0.5555555555555556,0.75,L2_Logistic_Regression
0.4888888888888889,0.9038461538461539,L2_Logistic_Regression
0.6,0.7307692307692307,L2_Logistic_Regression
0.5333333333333333,0.75,L2_Logistic_Regression
0.5555555555555556,0.7307692307692307,L2_Logistic_Regression
0.6,0.6923076923076923,L2_Logistic_Regression
0.4444444444444444,0.8653846153846154,L2_Logistic_Regression
0.4666666666666667,0.7884615384615384,L2_Logistic_Regression
0.4,0.7884615384615384,L2_Logistic_Regression
0.4666666666666667,0.7115384615384616,L2_Logistic_Regression
0.4888888888888889,0.6730769230769231,L2_Logistic_Regression
0.6222222222222222,0.8076923076923077,L2_Logistic_Regression
0.6222222222222222,0.8461538461538461,L2_Logistic_Regression
0.5111111111111111,0.8076923076923077,L2_Logistic_Regression
0.5333333333333333,0.7884615384615384,L2_Logistic_Regression
0.35555555555555557,0.7692307692307693,L2_Logistic_Regression
0.4888888888888889,0.75,L2_Logistic_Regression
0.5111111111111111,0.8269230769230769,L2_Logistic_Regression
0.6,0.6730769230769231,L2_Logistic_Regression
0.6666666666666666,0.6153846153846154,L2_Logistic_Regression
0.4222222222222222,0.8076923076923077,L2_Logistic_Regression
0.6,0.6923076923076923,L2_Logistic_Regression
0.6222222222222222,0.8076923076923077,L2_Logistic_Regression
0.4888888888888889,0.7692307692307693,L2_Logistic_Regression
0.4222222222222222,0.8846153846153846,L2_Logistic_Regression
0.5111111111111111,0.5576923076923077,L2_Logistic_Regression
0.4666666666666667,0.75,L2_Logistic_Regression
0.4444444444444444,0.7692307692307693,L2_Logistic_Regression
0.37777777777777777,0.8653846153846154,L2_Logistic_Regression
0.5555555555555556,0.8653846153846154,L2_Logistic_Regression
0.5777777777777777,0.7884615384615384,L2_Logistic_Regression
0.5555555555555556,0.8076923076923077,L2_Logistic_Regression
